FID,Name,Class,County,State,Latitude,Longitude
11728,Squaw Canyon,Valley,"Graham, Pinal",Arizona,33.1699685,-110.4362224
11729,Squaw Canyon,Valley,Coconino,Arizona,36.39118736,-112.3009574
11730,Squaw Canyon,Valley,Mohave,Arizona,36.41801576,-113.8930692
11732,Squaw Creek,Stream,Graham,Arizona,33.032004,-110.2487008
11733,Squaw Creek,Stream,Graham,Arizona,33.4747757,-109.8895344
11734,Squaw Creek Tank,Reservoir,Graham,Arizona,33.42790039,-109.8936981
11735,Squaw Dance Valley,Valley,Navajo,Arizona,36.37882999,-110.1952587
11736,Squaw Dress Ridge,Ridge,Gila,Arizona,33.9373651,-110.3271894
11737,Squaw Lake,Reservoir,Apache,Arizona,35.01676315,-109.2334039
11738,Squaw Mesa,Flat,Yavapai,Arizona,33.9716999,-112.3501665
11739,Squaw Mountain,Summit,Cochise,Arizona,31.67274654,-109.1663528
11740,Squaw Peak,Pillar,Yuma,Arizona,33.339756,-114.0343816
11742,Squaw Peak,Summit,La Paz,Arizona,34.16612449,-113.9507624
11743,Squaw Peak,Summit,Yavapai,Arizona,34.42279729,-112.7777769
11744,Squaw Peak,Summit,Mohave,Arizona,35.89569315,-114.4266248
11749,Squaw Pockets,Reservoir,Mohave,Arizona,36.3765845,-113.7416809
11750,Squaw Saddle,Gap,Graham,Arizona,32.7259015,-110.3228655
11751,Squaw Spring,Spring,Graham,Arizona,33.06023888,-110.3832608
11752,Squaw Spring,Spring,Coconino,Arizona,36.39461928,-112.2855219
11753,Squaw Springs,Spring,Apache,Arizona,35.13488681,-109.4278937
11754,Squaw Tank,Reservoir,Graham,Arizona,32.84517701,-109.9877377
11755,Squaw Tank,Reservoir,Mohave,Arizona,36.36385379,-113.7622022
11756,Squaw Tanks,Reservoir,Yuma,Arizona,33.3369783,-114.0149366
11757,Squaw Tit,Summit,Maricopa,Arizona,32.67723966,-112.3781275
28735,East Branch Squaw Creek,Stream,Yavapai,Arizona,34.1464221,-111.9340411
31134,Little Squaw Creek,Stream,"Yavapai, Maricopa",Arizona,34.0208672,-112.1615486
31135,Little Squaw Mountain,Summit,Coconino,Arizona,35.38856163,-112.0122673
31811,Middle Fork Squaw Creek,Stream,Yavapai,Arizona,34.1239224,-111.9601528
32370,North Fork Squaw Creek,Stream,Yavapai,Arizona,34.1253109,-112.0012651
34668,South Fork Squaw Creek,Stream,Yavapai,Arizona,34.1197558,-111.9593195
